name; year; decade; crew; capacity; length; wingspan; wingarea; emptyweight; grossweight; maxspeed; cruisespeed; stallspeed; range; fuelcapacity; power
Pop's Props Cloudster; 1995; 1990; One; UNKNOWN; 5.03; 9.14; 12.8; 113.0; 227.0; 52.0; 43.0; 19.0; 75.0; UNKNOWN; 26.0
Pop's Props Zing; 1996; 1990; One; UNKNOWN; 5.18; 7.75; 11.04; 113.0; 227.0; 61.0; 48.0; 23.0; 120.0; UNKNOWN; 26.0
ICP Savannah; UNKNOWN; 2000; 2; UNKNOWN; 6.6; 9.0; 12.87; 286.0; UNKNOWN; 107.0; 94.0; 26.0; UNKNOWN; UNKNOWN; 60.0
RagWing RW1 Ultra-Piet; 1994; 1990; one; UNKNOWN; 4.57; 7.77; 117.0; 115.0; 249.0; UNKNOWN; 48.0; 21.0; 109.0; UNKNOWN; 26.0
RagWing RW4 Midwing Sport; 1994; 1990; one; UNKNOWN; 4.88; 8.13; 117.0; 107.0; 249.0; UNKNOWN; 56.0; 23.0; 109.0; UNKNOWN; 21.0
RagWing RW7 Duster; UNKNOWN; 1990; one; UNKNOWN; 5.18; 8.53; 130.0; 125.0; 299.0; UNKNOWN; 56.0; 19.0; 174.0; UNKNOWN; 37.0
RagWing RW8 PT2S; 1993; 1990; one; one passenger; 5.18; 9.14; 135.0; 209.0; 408.0; UNKNOWN; 65.0; 31.0; 226.0; UNKNOWN; 39.0
RagWing RW9 Motor Bipe; 1995; 1990; one; UNKNOWN; 4.88; 5.49; 120.0; 102.0; 238.0; UNKNOWN; 52.0; 23.0; 109.0; UNKNOWN; 26.0
Rocky Mountain Wings Ridge Runner; 2000; 2000; one; UNKNOWN; 5.18; 7.98; 9.23; 112.0; 408.0; UNKNOWN; 48.0; 20.0; 122.0; UNKNOWN; 21.0
Dart Skycycle; 1985; 1980; one; UNKNOWN; 6.1; 9.14; 13.5; 115.0; 246.0; UNKNOWN; 48.0; 23.0; UNKNOWN; UNKNOWN; 21.0
Wood Sky Pup; 1980; 1980; one; UNKNOWN; 4.85; 9.45; 12.0; 88.0; 181.0; UNKNOWN; 48.0; 23.0; 130.0; UNKNOWN; 16.0
Flying K Sky Raider; 1996; 1990; one; UNKNOWN; 5.18; 8.0; 10.0; 109.0; 227.0; 55.0; 52.0; 20.0; 104.0; UNKNOWN; 21.0
Loehle Spad XIII; UNKNOWN; 1990; one; UNKNOWN; 5.0; 7.32; 15.6; 113.0; 238.0; 55.0; 46.0; 17.0; 74.0; UNKNOWN; 21.0
Carlson Sparrow; 1987; 1980; one; UNKNOWN; 5.11; 9.22; 11.0; 115.0; 229.0; 55.0; 50.0; 23.0; 200.0; UNKNOWN; 21.0
Golden Circle Air T-Bird; 1983; 1980; one; one passenger; 5.49; 9.45; 18.0; 186.0; 454.0; UNKNOWN; 61.0; 31.0; UNKNOWN; UNKNOWN; 48.0
Earthstar Thunder Gull; 1987; 1980; one; UNKNOWN; 5.26; 5.36; 8.8; 114.0; 249.0; 55.0; 48.0; 22.0; 143.0; UNKNOWN; 21.0
Titan Tornado; 1994; 1990; one; UNKNOWN; 5.64; 6.1; UNKNOWN; 113.0; 249.0; UNKNOWN; 52.0; 22.0; 104.0; UNKNOWN; 21.0
Joplin Tundra; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; 7.92; UNKNOWN; 113.0; 249.0; 55.0; 48.0; 22.0; 143.0; UNKNOWN; 30.0
TL Ultralight TL-96 Star; 1997; 1990; UNKNOWN; 2; 6.5; 9.2; 12.2; 265.0; 450.0; 138.0; 119.0; 34.0; 540.0; UNKNOWN; UNKNOWN
Aeroprakt A-20 Vista; 1991; 1990; one; one passenger in tandem seating; 6.71; 11.58; 16.0; 220.0; 449.0; 81.0; 61.0; 26.0; UNKNOWN; UNKNOWN; 37.0
TL Ultralight Condor; 1993; 1990; UNKNOWN; 2; 6.08; 10.6; 14.84; 265.0; UNKNOWN; 86.0; 76.0; 31.0; 243.0; UNKNOWN; 48.5
Bailey-Moyes Dragonfly; 1990; 1990; one; one passenger; 5.94; 10.36; 16.0; 233.0; 450.0; UNKNOWN; 40.0; 17.0; 65.0; 23.0; 48.0
Falconar Golden Hawk; 1983; 1980; one; one passenger; 4.27; 10.36; 15.6; 227.0; 449.0; 113.0; 87.0; 35.0; 174.0; UNKNOWN; 41.0
Precision Tech Fergy; 1991; 1990; one; one passenger; 5.7; 8.99; 13.0; 181.0; 454.0; 78.0; 65.0; 24.0; 191.0; UNKNOWN; 37.0
Buzzman L'il Buzzard; 1990; 1990; one; one passenger; 6.25; 10.21; 16.0; 227.0; 544.0; UNKNOWN; 70.0; 30.0; 304.0; UNKNOWN; 48.0
Arnet Pereyra Sabre II; 1992; 1990; one; one passenger; 6.81; 9.04; 14.5; 218.0; 499.0; 78.0; 61.0; 28.0; 130.0; UNKNOWN; 48.0
Aeroprakt A-26 Vulcan; UNKNOWN; 2000; UNKNOWN; 2; 6.7; 11.4; 15.7; 290.0; 520.0; 97.0; 70.0; 35.0; UNKNOWN; UNKNOWN; 48.0
Blue Yonder Merlin; 1987; 1980; two; UNKNOWN; 7.01; 10.82; 21.8; 318.0; UNKNOWN; 104.0; 96.0; UNKNOWN; UNKNOWN; UNKNOWN; 75.0
Aviasud Sirocco; UNKNOWN; 1980; 1; UNKNOWN; 5.08; 10.06; 13.1; 131.0; 248.0; UNKNOWN; 43.0; 23.0; UNKNOWN; UNKNOWN; 26.0
M-Squared Breese; 1996; 1990; one; one passenger; 5.79; 9.98; 17.0; 215.0; 635.0; 67.0; 55.0; 30.0; 78.0; UNKNOWN; 48.0
Raj Hamsa X-Air; 1993; 1990; one; one passenger; 5.65; 9.8; UNKNOWN; 240.0; UNKNOWN; 65.0; 54.0; 24.0; UNKNOWN; 49.0; 48.0
Rainbow Aerotrike; UNKNOWN; 1990; one; one passenger; UNKNOWN; 10.2; 14.8; 154.0; 400.0; 62.0; 54.0; 30.0; 175.0; 49.0; 37.0
Air Creation Racer; UNKNOWN; 1980; one; UNKNOWN; 2.74; 10.06; 13.5; 112.0; 272.0; 47.0; 39.0; 19.0; UNKNOWN; UNKNOWN; 30.0
UFM Easy Riser; 1975; 1970; one; UNKNOWN; 2.74; 9.14; 16.0; 54.0; 145.0; 35.0; 22.0; 17.0; 87.0; UNKNOWN; 8.2
Roko Aero NG4; 2008; 2000; UNKNOWN; 2; 6.45; 10.1; 13.0; 330.0; UNKNOWN; UNKNOWN; 130.0; 30.0; UNKNOWN; UNKNOWN; 75.0
S-Wing Swing; UNKNOWN; 1990; one; one passenger; 6.29; 10.2; 12.9; 296.0; UNKNOWN; UNKNOWN; 87.0; 35.0; 434.0; UNKNOWN; 73.5
Euro-ALA Jet Fox; 1991; 1990; UNKNOWN; 2; 5.78; 9.78; 14.62; 278.0; UNKNOWN; 94.0; 81.0; 32.0; 173.0; UNKNOWN; 60.0
Cyclone AX2000; 1997; 1990; 2; UNKNOWN; 5.6; 9.1; 15.77; 201.0; UNKNOWN; 54.0; UNKNOWN; 31.0; UNKNOWN; UNKNOWN; UNKNOWN
US Aviation CAVU; 1997; 1990; one; UNKNOWN; 5.26; UNKNOWN; 14.0; 100.0; 236.0; 78.0; 45.0; 23.0; 156.0; 11.0; 16.0
Colomban MC-30 Luciole; 2007; 2000; 1; UNKNOWN; UNKNOWN; 6.9; 4.6; 97.0; UNKNOWN; 108.0; 92.0; UNKNOWN; 432.0; UNKNOWN; 19.0
BRM Aero Bristell; 2010; 2010; one; one passenger; 6.45; 8.13; 10.5; 290.0; 472.5; UNKNOWN; 116.0; 28.0; UNKNOWN; UNKNOWN; 75.0
Volmer VJ-24W SunFun; 1977; 1970; one; UNKNOWN; 5.64; 11.13; 15.1; 75.0; 156.0; 36.0; 24.0; 13.0; 26.0; UNKNOWN; UNKNOWN
Aerotique Parasol; UNKNOWN; 1980; one; UNKNOWN; UNKNOWN; 9.75; 13.4; 110.0; 236.0; 55.0; 50.0; 21.0; UNKNOWN; 19.0; 21.0
Ultralight Engineering Astra; UNKNOWN; 1980; one; UNKNOWN; UNKNOWN; 10.06; 15.3; 112.0; 249.0; 48.0; 39.0; 19.0; UNKNOWN; 15.0; 26.0
Airborne Avenger; UNKNOWN; 1980; one; UNKNOWN; 5.18; 9.45; 12.5; 114.0; UNKNOWN; 52.0; 39.0; 14.0; UNKNOWN; 19.0; 22.0
Brock Avion; UNKNOWN; 1980; one; UNKNOWN; UNKNOWN; 10.36; 13.5; 109.0; 206.0; 45.0; 42.0; 23.0; UNKNOWN; 19.0; 21.0
Robertson B1-RD; 1982; 1980; one; UNKNOWN; UNKNOWN; 9.75; 15.1; 100.0; 227.0; 43.0; 33.0; 13.0; 109.0; 15.0; 22.0
International Ultralight Banchee; UNKNOWN; 1980; one; UNKNOWN; UNKNOWN; 10.36; 16.0; 114.0; 272.0; 48.0; 43.0; 21.0; 104.0; 19.0; 26.0
Aircore Cadet; UNKNOWN; 1980; one; UNKNOWN; UNKNOWN; 9.14; 15.1; 112.0; 240.0; 48.0; 39.0; 16.0; 96.0; 19.0; 21.0
Worldwide Ultralite Clipper; UNKNOWN; 1980; one; UNKNOWN; 5.3; 9.1; 14.3; 114.0; 263.0; 55.0; 52.0; 17.0; 113.0; 19.0; 30.0
Cloudbuster Ultralights Cloudbuster; UNKNOWN; 1980; one; UNKNOWN; UNKNOWN; 11.0; 14.2; 112.0; 241.0; 52.0; 43.0; 22.0; 117.0; 13.0; 15.0
US Aviation Cloud Dancer; 1983; 1980; one; UNKNOWN; 5.2; 12.19; 12.3; 114.0; 236.0; UNKNOWN; 43.0; 23.0; 217.0; 19.0; 21.0
Seahawk Condor; UNKNOWN; 1980; one; one passenger; UNKNOWN; 9.8; 15.6; 109.0; 247.0; UNKNOWN; 48.0; 17.0; UNKNOWN; 19.0; 30.0
Hovey Delta Bird; 1982; 1980; one; UNKNOWN; 4.57; UNKNOWN; 15.0; 99.0; 188.0; 52.0; 39.0; 23.0; 43.0; 19.0; 22.0
American Aerolights Eagle; 1975; 1970; one; UNKNOWN; UNKNOWN; 11.0; 16.4; 102.0; 464.0; 43.0; 30.0; 23.0; 43.0; 15.0; 26.0
Phase 3 Eclipse; 1983; 1980; one; UNKNOWN; 4.3; 9.8; 10.6; 75.0; 211.0; 55.0; 43.0; 22.0; 130.0; 19.0; 19.0
St Croix Excelsior; 1980; 1980; one; UNKNOWN; 5.03; 10.54; 12.6; 113.0; 238.0; 65.0; 56.0; 22.0; 109.0; 19.0; 15.0
Striplin F.L.A.C.; 1978; 1970; one; UNKNOWN; UNKNOWN; 9.75; 14.4; 91.0; 197.0; 56.0; 48.0; 14.0; UNKNOWN; 19.0; 8.6
Goldwing Ltd Goldwing; 1979; 1970; one; UNKNOWN; UNKNOWN; 9.1; 13.0; 114.0; 245.0; UNKNOWN; 52.0; 22.0; UNKNOWN; 11.0; 22.0
Delta Sailplane Nomad; UNKNOWN; 1980; one; UNKNOWN; 5.6; 9.8; 12.2; 86.0; 185.0; 52.0; UNKNOWN; 23.0; UNKNOWN; 9.5; 19.0
Howland H-3 Pegasus; 1988; 1980; one; UNKNOWN; UNKNOWN; 7.6; 10.0; 114.0; 249.0; 83.0; 48.0; 23.0; 104.0; 19.0; 21.0
Howland H-2 Honey Bee; 1986; 1980; one; UNKNOWN; 4.8; UNKNOWN; 13.0; 225.0; 318.0; 70.0; 59.0; 30.0; 104.0; 45.0; 48.0
Gemini Hummingbird; 1981; 1980; one; UNKNOWN; UNKNOWN; 11.0; 163.0; 109.0; 254.0; UNKNOWN; 50.0; 19.0; 87.0; 17.0; 15.0
Advanced Aviation Husky; 1978; 1970; One; UNKNOWN; 5.11; 10.21; 15.4; 90.0; 212.0; 46.0; 39.0; 21.0; UNKNOWN; 18.0; 22.0
Blue Yonder EZ Fun Flyer; 2011; 2010; one; UNKNOWN; 4.6; 10.0; 13.6; 114.0; 272.0; UNKNOWN; 43.0; 15.0; 87.0; 23.0; 10.0
Ultra-Efficient Products Invader; 1982; 1980; one; UNKNOWN; 5.5; 9.4; 13.0; 111.0; 215.0; UNKNOWN; 35.0; 17.0; 87.0; 9.5; 10.0
Cascade Kasperwing I-80; 1976; 1970; one; UNKNOWN; 3.0; 11.0; 17.0; 73.0; 172.0; 39.0; 30.0; 16.0; 74.0; 9.5; 15.0
Manta Foxbat; UNKNOWN; 1980; one; UNKNOWN; 2.4; 9.91; 14.6; 86.0; 193.0; UNKNOWN; 30.0; 19.0; 87.0; 19.0; 22.0
Striplin Lone Ranger; UNKNOWN; 1980; one; UNKNOWN; UNKNOWN; 9.8; 11.0; 111.0; 227.0; 55.0; UNKNOWN; 22.0; UNKNOWN; 19.0; 15.0
Tomark Viper SD4; 2006; 2000; UNKNOWN; 2; 6.4; 8.4; UNKNOWN; 292.0; 472.5; UNKNOWN; 108.0; 35.0; 405.0; UNKNOWN; 59.6
Mariner Aircraft Mariner; 1989; 1980; one; UNKNOWN; UNKNOWN; 9.8; 13.1; 138.0; 295.0; UNKNOWN; 48.0; 23.0; 65.0; 38.0; 30.0
Mathews Petit Breezy; UNKNOWN; 1980; one; UNKNOWN; 5.2; 9.1; 14.0; 112.0; 227.0; UNKNOWN; 35.0; 19.0; UNKNOWN; 19.0; 22.0
Mathews PUP; 1983; 1980; one; UNKNOWN; UNKNOWN; 9.8; 15.0; 112.0; UNKNOWN; UNKNOWN; 35.0; 24.0; UNKNOWN; UNKNOWN; 28.0
Mathews Turnerkraft; UNKNOWN; 1980; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN
Chandelle Mk IV; 1984; 1980; one; UNKNOWN; 5.2; 9.3; 14.2; 110.0; 227.0; 51.0; 39.0; 20.0; UNKNOWN; 19.0; 22.0
Shark.Aero Shark; 2009; 2000; one; one passenger; 6.715; 7.9; 9.5; 275.0; UNKNOWN; 157.0; 135.0; 35.0; UNKNOWN; UNKNOWN; 73.5
Meadowlark Ultralight Meadowlark; 1982; 1980; one; UNKNOWN; 5.8; 11.0; 12.6; 114.0; 249.0; 48.0; 30.0; 19.0; 78.0; 14.0; 22.0
Ultralight Flight Mirage; UNKNOWN; 1980; one; UNKNOWN; 5.94; 9.8; 13.4; 112.0; 227.0; UNKNOWN; 43.0; 22.0; 91.0; 15.0; 26.0
Teman Mono-Fly; UNKNOWN; 1980; one; UNKNOWN; 5.2; 9.4; 11.5; 113.0; 249.0; 55.0; 39.0; 17.0; UNKNOWN; 19.0; 37.0
Golden Gate Mosquito; UNKNOWN; 1980; one; UNKNOWN; 4.6; 8.8; 13.5; 114.0; 228.0; 55.0; 52.0; 23.0; UNKNOWN; 19.0; 26.0
Paup P-Craft; 1982; 1980; one; UNKNOWN; UNKNOWN; 9.91; 12.3; 75.0; 182.0; UNKNOWN; 35.0; 19.0; UNKNOWN; UNKNOWN; 15.0
Waspair HM 81 Tomcat; 1980; 1980; one; UNKNOWN; UNKNOWN; 9.4; UNKNOWN; 111.0; 238.0; 55.0; 48.0; 23.0; UNKNOWN; 19.0; 22.0
Rotec Rally; 1977; 1970; one; UNKNOWN; UNKNOWN; 9.4; 14.4; 99.0; 211.0; UNKNOWN; 35.0; 17.0; 68.0; 11.0; 26.0
Rotec Panther; 1984; 1980; one; UNKNOWN; UNKNOWN; 10.0; UNKNOWN; 113.0; 215.0; 52.0; 50.0; 19.0; 149.0; 13.0; 21.0
Ritz Model A; 1984; 1980; one; UNKNOWN; UNKNOWN; 11.0; 13.0; 91.0; 204.0; 54.0; 39.0; 16.0; UNKNOWN; 19.0; 16.0
Skyhigh Skybaby; 1983; 1980; one; UNKNOWN; 5.2; 9.8; 11.9; 70.0; 163.0; 35.0; 30.0; 21.0; UNKNOWN; 11.0; 9.3
